Intake #,Full Addr,Damage,Notes,Reviewer,interactive map,http://calfire-forestry.maps.arcgis.com/apps/webappviewer/index.html?id=5306cc8cf38c4252830a38d467d33728&extent=-13547810.5486%2C4824920.1673%2C-13518764.4778%2C4841526.1117%2C102100,Street,City,State,Zipcode,temp,Intake #
1,780 B LUTHER DR PARADISE CA 95969,No Visible Damage,Church,Minjhing,,,780 B LUTHER DR,PARADISE,CA,95969,780 B LUTHER DR PARADISE,1
2,4124 BIG BeND RD #A OROVILLE CA 95965,Destroyed (>50%),,Bob,,,4124 BIG BeND RD #A,OROVILLE,CA,95965,4124 BIG BeND RD #A OROVILLE,2
3,6098 CLARK RD #4 PARADISE CA 95969,Destroyed (>50%),,Bob,,,6098 CLARK RD #4,PARADISE,CA,95969,6098 CLARK RD #4 PARADISE,3
4,5962 DEL MAR AVE PARADISE CA 95969,Destroyed (>50%),,Bob,,,5962 DEL MAR AVE,PARADISE,CA,95969,5962 DEL MAR AVE PARADISE,4
5,1225 LURENA LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,1225 LURENA LN,PARADISE,CA,95969,1225 LURENA LN PARADISE,5
6,1598 GATE LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,1598 GATE LN,PARADISE,CA,95969,1598 GATE LN PARADISE,6
7,1711 TIMBER LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,1711 TIMBER LN,PARADISE,CA,95969,1711 TIMBER LN PARADISE,7
8,2875 ESKIN MAIDU TRL CHICO CA 95928,Destroyed (>50%),,Leon,,,2875 ESKIN MAIDU TRL,CHICO,CA,95928,2875 ESKIN MAIDU TRL CHICO,8
9,6108 CLARK RD #4 PARADISE CA 95969,Destroyed (>50%),,Bob,,,6108 CLARK RD #4,PARADISE,CA,95969,6108 CLARK RD #4 PARADISE,9
10,1683 GINNY LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,1683 GINNY LN,PARADISE,CA,95969,1683 GINNY LN PARADISE,10
11,6156 FERN LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,6156 FERN LN,PARADISE,CA,95969,6156 FERN LN PARADISE,11
12,14603 LAFAYETTE CIR MAGALIA CA 95954,,NA,Leon,,,14603 LAFAYETTE CIR,MAGALIA,CA,95954,14603 LAFAYETTE CIR MAGALIA,12
13,6280 PENTZ RD #43 PARADISE CA 95969,Destroyed (>50%),,Bob,,,6280 PENTZ RD #43,PARADISE,CA,95969,6280 PENTZ RD #43 PARADISE,13
14,2922 LOST RIDGE WAY OROVILLE CA 95965,Destroyed (>50%),,Bob ,,,2922 LOST RIDGE WAY,OROVILLE,CA,95965,2922 LOST RIDGE WAY OROVILLE,14
15,5571 HEAVENLY PL PARADISE CA 95969,Destroyed (>50%),,Bob ,,,5571 HEAVENLY PL,PARADISE,CA,95969,5571 HEAVENLY PL PARADISE,15
16,1060 BUSCHMANN RD #39 PARADISE CA 95969,Destroyed (>50%),,Bob,,,1060 BUSCHMANN RD #39,PARADISE,CA,95969,1060 BUSCHMANN RD #39 PARADISE,16
17,7726 SKWY #26 PARADISE CA 95969,Destroyed (>50%),,Bob,,,7726 SKWY #26,PARADISE,CA,95969,7726 SKWY #26 PARADISE,17
18,6506 CEDAR LAKE DR MAGALIA CA 95954,No Visible Damage,,Bob,,,6506 CEDAR LAKE DR,MAGALIA,CA,95954,6506 CEDAR LAKE DR MAGALIA,18
19,1235 TAHOE WAY PARADISE CA 95969,Destroyed (>50%),,Bob,,,1235 TAHOE WAY,PARADISE,CA,95969,1235 TAHOE WAY PARADISE,19
20,1040 MAPLE PARK DR #B PARADISE CA 95969,Destroyed (>50%),,Bob,,,1040 MAPLE PARK DR #B,PARADISE,CA,95969,1040 MAPLE PARK DR #B PARADISE,20
21,5552 TRAVIS RD #F PARADISE CA 95969,Destroyed (>50%),,Bob,,,5552 TRAVIS RD #F,PARADISE,CA,95969,5552 TRAVIS RD #F PARADISE,21
22,679 MADRONE WAY PARADISE CA 95969,Destroyed (>50%),,Bob,,,679 MADRONE WAY,PARADISE,CA,95969,679 MADRONE WAY PARADISE,22
23,6204 FORGOTTEN WAY PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,6204 FORGOTTEN WAY,PARADISE,CA,95969,6204 FORGOTTEN WAY PARADISE,23
24,6108 VISTA KNOLLS DR PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,6108 VISTA KNOLLS DR,PARADISE,CA,95969,6108 VISTA KNOLLS DR PARADISE,24
25,1009 BILLE RD #1 PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,1009 BILLE RD #1,PARADISE,CA,95969,1009 BILLE RD #1 PARADISE,25
26,14136 CITADEL WAY MAGALIA CA 95954,Destroyed (>50%),"UtilityMiscStructure
",Ryan,,,14136 CITADEL WAY,MAGALIA,CA,95954,14136 CITADEL WAY MAGALIA,26
27,14784 GLENWOOD DR MAGALIA CA 95954,No Visible Damage,NA,Ryan,,,14784 GLENWOOD DR,MAGALIA,CA,95954,14784 GLENWOOD DR MAGALIA,27
28,5975 MAXWELL DR #26 PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,5975 MAXWELL DR #26,PARADISE,CA,95969,5975 MAXWELL DR #26 PARADISE,28
29,1335 BENNETT RD PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,1335 BENNETT RD,PARADISE,CA,95969,1335 BENNETT RD PARADISE,29
30,13664 FRITZ CT MAGALIA CA 95954,Destroyed (>50%),residential,Ryan,,,13664 FRITZ CT,MAGALIA,CA,95954,13664 FRITZ CT MAGALIA,30
31,14578 COLTER WAY MAGALIA CA 95954,No Visible Damage,NA,Ryan,,,14578 COLTER WAY,MAGALIA,CA,95954,14578 COLTER WAY MAGALIA,31
32,5507 GARDEN VIEW LN PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,5507 GARDEN VIEW LN,PARADISE,CA,95969,5507 GARDEN VIEW LN PARADISE,32
