Intake number,Address,Manual Status,Status,Verification
1,780 B LUTHER DR PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
2,4124 BIG BeND RD #A OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
3,6098 CLARK RD #4 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
4,5962 DEL MAR AVE PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
5,1225 LURENA LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
6,1598 GATE LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
7,1711 TIMBER LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
8,2875 ESKIN MAIDU TRL CHICO CA 95928,Destroyed (>50%),Destroyed (>50%),match
9,6108 CLARK RD #4 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
10,1683 GINNY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
11,6156 FERN LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
12,14603 LAFAYETTE CIR MAGALIA CA 95954,,No Visible Damage,unverified
13,6280 PENTZ RD #43 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
14,2922 LOST RIDGE WAY OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
15,5571 HEAVENLY PL PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
16,1060 BUSCHMANN RD #39 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
17,7726 SKWY #26 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
18,6506 CEDAR LAKE DR MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
19,1235 TAHOE WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
20,1040 MAPLE PARK DR #B PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
21,5552 TRAVIS RD #F PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
22,679 MADRONE WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
23,6204 FORGOTTEN WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
24,6108 VISTA KNOLLS DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
25,1009 BILLE RD #1 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
